科目名, 分野, K-Number
プロジェクト英語ＣEC06(IndieRock)(GIGA/GG/GI), 基盤科目-言語コミュニケーション科目, FPE-CO-02012-212-02
日独社会研究（ドイツ語圏）/ドイツ語コンテンツ, 先端科目-総合政策系, FPE-CO-04003-229-88
文化論（ドイツ語圏）/ドイツ語コンテンツ, 先端科目-総合政策系, FPE-CO-04003-219-88
地域論（ドイツ語圏）/ドイツ語コンテンツ, 先端科目-総合政策系, FPE-CO-04003-219-85
社会論（フランス語圏）/フランス語コンテンツ, 先端科目-総合政策系, FPE-CO-04003-219-86
言語教育実践論（中国語圏）/中国語コンテンツ, 先端科目-総合政策系, FPE-CO-04003-211-02
地域と文化（スペイン語圏）/スペイン語コンテンツ, 先端科目-総合政策系, FPE-CO-04003-219-88
アカデミックプレゼンテーション実践(GIGA/GG/GI)/英語コンテンツ, 基盤科目-共通科目, FPE-CO-03303-212-89
ドイツ語海外研修Ｂ, 基盤科目-言語コミュニケーション科目, 
フランス語海外研修Ａ, 基盤科目-言語コミュニケーション科目, 
フランス語海外研修Ｂ, 基盤科目-言語コミュニケーション科目, 
朝鮮語海外研修Ａ(初級), 基盤科目-言語コミュニケーション科目, 
マレー・インドネシア語海外研修Ｂ, 基盤科目-言語コミュニケーション科目, 
スペイン語海外研修Ａ(スペイン・サンセバスティアン市), 基盤科目-言語コミュニケーション科目, FPE-CO-02702-119-02
スペイン語海外研修Ａ(スペイン・サラマンカ市), 基盤科目-言語コミュニケーション科目, 
スペイン語海外研修Ｂ, 基盤科目-言語コミュニケーション科目, 
アラビア語海外研修Ｂ, 基盤科目-言語コミュニケーション科目, 
統計基礎[DS1], 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03012-211-12
統計基礎[DS1](GIGA/GG/GI), 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03012-212-12
統計基礎[DS1], 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03012-211-12
確率[DS1], 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03013-211-12
確率[DS1], 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03013-211-12
確率[DS1](GIGA/GG/GI), 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03013-232-12
確率[DS1], 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03013-231-12
微分・積分[DS1](GIGA/GG/GI), 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03012-212-12
微分・積分[DS1], 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03012-211-12
微分・積分[DS1], 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03012-211-12
微分・積分[DS1], 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03012-211-12
線形代数[DS1], 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03012-211-11
線形代数[DS1], 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03012-211-11
線形代数[DS1], 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03012-221-11
線形代数[DS1](GIGA/GG/GI), 基盤科目-データサイエンス科目-データサイエンス１, FPE-CO-03012-212-11
経済・ファイナンスのデータサイエンス[DS2]/時系列解析法, 基盤科目-データサイエンス科目-データサイエンス２, FPE-CO-03022-211-07
情報と社会のデータサイエンス[DS2], 基盤科目-データサイエンス科目-データサイエンス２, FPE-CO-03022-211-88
環境ガバナンスのデータサイエンス[DS2], 基盤科目-データサイエンス科目-データサイエンス２, FPE-CO-03023-221-88
生命動態のデータサイエンス[DS2], 基盤科目-データサイエンス科目-データサイエンス２, FPE-CO-03022-221-88
統計解析[DS2](GIGA/GG/GI), 基盤科目-データサイエンス科目-データサイエンス２, FPE-CO-03022-312-12
統計解析[DS2]【学期前半】, 基盤科目-データサイエンス科目-データサイエンス２, FPE-CO-03022-211-12
ベイズ統計[DS2], 基盤科目-データサイエンス科目-データサイエンス２, FPE-CO-03022-221-12
最適化の数理[DS2], 基盤科目-データサイエンス科目-データサイエンス２, FPE-CO-03022-211-60
数理解析[DS2], 基盤科目-データサイエンス科目-データサイエンス２, FPE-CO-03022-211-12
生命科学実験の基礎[DS2](TTCK), 基盤科目-データサイエンス科目-データサイエンス２, FPE-CO-03022-311-88
バイオインフォマティクスのデータサイエンス[DS2](GIGA/GG/GI), 基盤科目-データサイエンス科目-データサイエンス２, FPE-CO-03022-222-88
アルゴリズムサイエンス[DS2], 基盤科目-データサイエンス科目-データサイエンス２, FPE-CO-03022-211-60
情報基礎１(11), 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎１(22), 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎１(23), 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎１(04), 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎１(15), 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎１(07), 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎１(13), 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎１(19), 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
情報基礎１(26), 基盤科目-情報技術基礎科目, FPE-CO-03102-711-60
